ブランド名称,患者数
レバミピド GE,1400
アムロジピン GE,663
ムコスタ,607
モーラス,452
酸化マグネシウム GE,449
メコバラミン GE,444
ロキソプロフェン GE,413
セレコキシブ GE,393
カロナール,357
ネキシウム,330
ロスバスタチン GE,314
フェルビナク GE,313
リマプロスト GE,310
プレガバリン GE,309
エディロール,297
タケキャブ,292
アスピリン GE,275
リリカ,263
デパス,251
ランソプラゾール GE,248
エルデカルシトール GE,244
フェブリク,233
マイスリー,231
芍薬甘草湯,227
ファモチジン GE,217
アトルバスタチン GE,212
センノシド GE,203
クレストール,193
ノルバスク,183
サインバルタ,179
チラーヂン,178
タリージェ,170
ヒルドイド,169
アルファカルシドール GE,165
アムロジン,163
アジルバ,156
リピトール,155
ノイロトロピン,153
オルメサルタン GE,152
フォリアミン,151
プレドニゾロン,151
リンデロン,144
セレコックス,141
ピタバスタチン GE,141
ニフェジピン GE,139
メトグルコ,135
リウマトレックス,135
ボルタレン,131
カンデサルタン GE,129
エチゾラム GE,127
